"CampaignRepositoryContentID","IsDeleted","CampaignContentID","RepositoryContentName","Size","IsTrash","FullPath","CampaignContentTypeID","CampaignContentTypeIdentifier","AuditCreatedDate","AuditLastUpdatedDate"
"12625","False","9898","Avaliação de reação do Fórum de Embaixadores do Neolude","0","False","/home/l/u/lucas_soares","2021","ReactionSurvey::ReactionSurveyContent","24/11/2020 16:36:27","24/11/2020 16:36:27"
"12626","False","9899","Avaliação de reação do Fórum de Embaixadores do Neolude","0","False","/Talent/TD ANALYTICS","2021","ReactionSurvey::ReactionSurveyContent","24/11/2020 16:36:32","27/11/2020 11:43:46"
"12726","False","9999","Pesquisa de Reação: Guia Prático Autorizações/GIH - Alterações","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER/2021_2020 Tambore /Karim Guia Pratico AutorizacoesGIH","2021","ReactionSurvey::ReactionSurveyContent","02/12/2020 14:41:18","02/12/2020 14:43:41"
"12827","False","10100","Avaliação de reação","0","False","/home/m/a/mariane_lucia","2021","ReactionSurvey::ReactionSurveyContent","04/12/2020 11:56:10","04/12/2020 11:56:10"
"12928","False","10201","Avaliação de Reação","0","False","/home/m/a/mariane_lucia","2021","ReactionSurvey::ReactionSurveyContent","04/12/2020 17:12:55","04/12/2020 17:12:55"
"13029","False","10302","Cronograma 2021","0","False","/","2021","ReactionSurvey::ReactionSurveyContent","08/12/2020 09:44:40","08/12/2020 09:44:40"
"13130","False","10403","Cronograma 2021","0","False","/COMPLIANCE","2021","ReactionSurvey::ReactionSurveyContent","08/12/2020 09:47:05","08/12/2020 09:49:23"
"13231","False","4747","Evento Virtual - Proposta de Valor Amil","0","False","/UNIVERSIDADE DE VENDAS/GESTAO PASSADA /2020","2020","Video::WebMeetingContent","09/12/2020 10:49:07","09/12/2020 10:49:18"
"13232","False","10504","Avaliação de Performance","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","09/12/2020 20:15:59","10/12/2020 18:38:21"
"13332","False","10605","Avaliação de Reação 2021 (Presencial/Remoto)","0","False","/OPERACOES E CUSTOMER SERVICE /01-TR OPERACOES - 2022","2021","ReactionSurvey::ReactionSurveyContent","30/12/2020 16:20:54","25/02/2022 15:10:46"
"13433","False","10706","Avaliação de Reação Performance de Valor 2021  - EAD","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","31/12/2020 07:44:00","24/05/2021 15:17:54"
"13534","False","10807","AVALIAÇÃO DE REAÇÃO  2022 (EAD)","0","False","/OPERACOES E CUSTOMER SERVICE /Treinamento Operacoes/Pesquisa Reacao","2021","ReactionSurvey::ReactionSurveyContent","31/12/2020 08:06:33","28/05/2022 07:59:01"
"13635","False","10908","Avaliação de Reação","0","False","/OPERACOES E CUSTOMER SERVICE /Treinamentos MCO/Pesquisas de reacao 2021","2021","ReactionSurvey::ReactionSurveyContent","21/01/2021 15:16:21","21/01/2021 15:19:53"
"13736","False","11009","repert","0","False","/OPERACOES E CUSTOMER SERVICE /Treinamentos MCO/Pesquisas de reacao 2021","2021","ReactionSurvey::ReactionSurveyContent","21/01/2021 15:21:31","21/01/2021 15:21:31"
"13837","False","11110","Como foi a sua jornada?","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","23/01/2021 18:37:20","23/01/2021 18:37:20"
"13838","False","11111","Conecte-se com a Amil - Como foi a sua jornada?","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","23/01/2021 18:50:56","23/01/2021 18:53:49"
"13839","False","11112","Conecte-se com a Amil - Como foi a sua jornada?","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","23/01/2021 18:54:30","23/01/2021 18:54:43"
"13938","False","11211","Queremos ouvir você!","0","True","/","2021","ReactionSurvey::ReactionSurveyContent","31/01/2021 21:38:19","31/01/2021 21:38:19"
"14039","False","11312","O que você achou do vídeo?","0","False","/OPERACOES E CUSTOMER SERVICE /SalesForce - Treinamento","2021","ReactionSurvey::ReactionSurveyContent","08/03/2021 21:40:49","08/03/2021 21:40:49"
"14140","False","11413","Cadastro Central de Atendimento","0","False","/OPERACOES E CUSTOMER SERVICE /CALL CENTER - 2022/CALL CENTER/2021_2020 Tambore /2021","2021","ReactionSurvey::ReactionSurveyContent","18/03/2021 18:15:35","18/03/2021 21:00:07"
"14241","False","11514","teste avaliação FORMS","0","False","/CARE DELIVERY/TREINAMENTO","2021","ReactionSurvey::ReactionSurveyContent","19/03/2021 15:21:38","19/03/2021 15:21:38"
